순번,질문제목,제목글자수,제목잘림,작성일,답변수,분류,태그,질문 본문,답변 발췌,답변자,링크,제목 신규어(자동완성에 없음)
1,실업급여 조건 충족될까요..?,16,N,2026.08.13.,34,고용안정,"실업급여, 실업급여조건, 실업급여수급자격",,"이틀 전 갑작스레 말해준 부분이라, 부당해고수당을 알아보니 조건 충족이 안될 듯 하여 실업급여가 꼭 필요한 상황입니다.. 문제는 이 회사의 전 회사와의...",,https://kin.naver.com/qna/detail.naver?dirId=6080401&docId=494617532&answerNo=32&qb=7Iuk7JeF6riJ7Jes,충족될까요
2,실업급여조건 문의,9,N,2026.07.28.,27,고용보험,실업급여수급자격,,26년1월1일자로 입사한 회사에서 사정이 어려워 저는 9월까지 근무가 가능한데 8월 22일부로 계약종료하자는 얘기가 있습니다 이 경우 실업급여 신청이 가능한가요?...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494421900&answerNo=21&qb=7Iuk7JeF6riJ7Jes,
3,실업급여조건 확인 좀 부탁드립니다,18,N,2026.06.30.,26,고용보험,,,2025년5월 입사하고 2026년 5월 다른회사로 이직하고 지금 한달이 조금 안됐습니다. 지금 다니는 회사에서 권고사직되면 실업급여 신청할수 있나요? 네 그렇습니다,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494037085&answerNo=22&qb=7Iuk7JeF6riJ7Jes,
4,실업급여 조건,7,N,2026.07.05.,20,고용보험,"실업급여, 근로",,A에서 2년 근무후 자발적퇴사하고 B에서 계약직 사대보험 넣고 란달후 계약종료로 퇴사했는데 실업급여ㅜ받을수있나요?? 이직확인서 두곳에서 떼서...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494144001&answerNo=9&qb=7Iuk7JeF6riJ7Jes,
5,실업급여 받는중 이사,11,N,2026.06.30.,19,고용보험,,,실업급여 받는중인데.. 집이 계약만료되어서 이사가야되거든요?? 실업급여 받는거랑은 상관없나요? 넵.!! 실업급여 수급 중 이사를 했다고 실업급여가 중단되거나 축소되는 일은...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=485374495&answerNo=17&qb=7Iuk7JeF6riJ7Jes,받는중
6,실업급여 금액,7,N,2026.05.06.,17,고용보험,,,월에 60만원정도 받고 일하던곳을 퇴사하면 실업급여는 얼마정도 받나요? 월 60[세후] 정도면 주15시간 근로에 해당된다 사료됨에 그렇다면 실업급여 지급일액은 24...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=493274211&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
7,실업급여 조건 충족,10,N,2026.07.20.,16,고용보험,,,전에회사에서 2년 좀넘게 근무하고 자발적 퇴사했구요 이후에 이력서 안넣고 지인회사에 계약직으로 한달근무하고 고용보험만 넣고 비자발적 퇴사되는데 실업급여...,땅돌이(dnjs****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494076188&answerNo=13&qb=7Iuk7JeF6riJ7Jes,충족
8,자발적 퇴사 실업급여,11,N,2026.08.18.,14,"고용, 고용복지","실업급여조건, 자발적퇴사실업급여, 자발적퇴사",,"3년이나 정들었던 공장을 떠나려니 마음이 참 무거우셨을 텐데, 자발적 퇴사라는 이유로 실업급여 걱정까지 더해져 머릿속이 아주 복잡하고 막막하셨겠어요. 그 지치고 답답한...",,https://kin.naver.com/qna/detail.naver?dirId=60804&docId=484299744&answerNo=16&qb=7Iuk7JeF6riJ7Jes,
9,실업급여 조건,7,N,2026.08.03.,14,고용보험,실업급여,,A직장에서 24년1월부터 26년 6월말까지 근무 후 자진퇴사 한 뒤 B직장에 7월 1일부터 2주정도 근무 후 권고사직 당하면 이 경우 실업급여 신청 가능한가요? A직장을...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494291481&answerNo=14&qb=7Iuk7JeF6riJ7Jes,
10,퇴직금 받기전에 실업급여 신청,16,N,2026.08.09.,13,고용보험,"실업급여, 실업급여신청",,마지막 월급이 10일이고 퇴직금은 보통 월급날부터 일주일 안에 지급된하고 합니다. 마지막 월급을 받고 퇴직금을 받기 전에 실업급여 신청해도 괜찮나요? 네 상관없어요,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494654406&answerNo=10&qb=7Iuk7JeF6riJ7Jes,받기전에
11,실업급여 질문,7,N,2026.07.01.,12,고용보험,,,현직장에서 2년근무하고 계약만료(사업주가 재계약거부)로 퇴사하는데 실업급여 신청가능한가요? 넵.!! 계약기간이 최종 만료가 되었기 때문에 정규직 전환이 불가피하여...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494122378&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
12,실업급여 수급조건,9,N,2026.07.01.,11,고용보험,,,인턴활동이랑 인턴활동전에 4대보험이 드는 알바를 했었는데 두가지 근로일수를 합하고 나니까 실업급여 180일 보다 일주일정도 모자라더라구요 혹시 일용직으로 채워도...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494088687&answerNo=9&qb=7Iuk7JeF6riJ7Jes,수급조건
13,실업급여 전직장 이직확인서 발급 궁금합니,22,Y,2026.08.03.,11,고용보험,실업급여,,계약만료로 실업급여 신청할 예정인데 전직장 이직확인서도 제출해야하는지 궁급합니다. 안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 민승기 입니다....,민승기노무사(mm****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494574700&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"전직장, 발급, 궁금합니"
14,실업급여 얼마받을까요 ?,13,N,2026.06.21.,10,고용보험,,,실업급여는 6월15일에 신청해서 29일날 1차 실업인정으로 다시 방문예정인데 얼마정도 받을지 궁금해서요 시급15320원(야간수당포함) 일 근무시간 5시간 주 25시간 세전...,가물치(h292****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=493970689&answerNo=2&qb=7Iuk7JeF6riJ7Jes,얼마받을까요
15,경비직 실업급여,8,N,2026.08.19.,10,"직업, 취업",,,하루에 11시간 근무이며 주 5일 주간으로 근무해서 55시간 근무했는데…내가 자발적으로 퇴사했고 퇴사한지 2주 정도 되었는데 실업급여 못 받을까요? ㅠㅠ 정규직으로...,,https://kin.naver.com/qna/detail.naver?dirId=406&docId=494045591&answerNo=10&qb=7Iuk7JeF6riJ7Jes,경비직
16,실업급여대상 여부,9,N,2026.08.05.,10,고용보험,,,"경우에 실업급여 수급대상이 가능하나요?? 마지막 직장 단기 계약직이 4대보험 모두 가입이며 고용취득 및 고용상실 신고 기준으로 최소 만1개월[이상] 근무, 최종 비자발적...",갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494601354&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
17,직장내 괴롭힘 퇴사 실업급여,15,N,2026.08.26.,10,노동법,,,직장 내 괴롭힘으로 퇴사 후 실업급여 받는게 많이 힘들까요. 요식업계인데 재작년에 입사한 과장님께서 소리지르고 모욕적인 발언을 일삼습니다. 회사 단체톡방에서 제...,,https://kin.naver.com/qna/detail.naver?dirId=60222&docId=494702447&answerNo=10&qb=7Iuk7JeF6riJ7Jes,"직장내, 괴롭힘"
